Name,Email,Team
Jane Doe,jane.doe@abc-company.com,Database Admin
Michael Scott,michael.scott@abc-company.com,Network Admin
Barbara Brown,barbara.brown@abc-company.com,Cloud Architect
Brian Garcia,brian.garcia@abc-company.com,Linux Admin
Philip Jack,philip.jack@abc-company.com,Database Admin
Angelino Marinho,angelino.marinho@abc-company.com,Database Admin
Arachane Dinis,arachane.dinis@abc-company.com,Database Admin
Armando Pirassununga,armando.pirassununga@abc-company.com,Database Admin
Astolfo Cerveira,astolfo.cerveira@abc-company.com,Database Admin
Augusta Gusmão,augusta.gusmao@abc-company.com,Database Admin
Boaventura Trindade,boaventura.trindade@abc-company.com,Database Admin
Brás Vides,bras.vides@abc-company.com,Database Admin
Bruna Muñiz,bruna.muniz@abc-company.com,Database Admin
Capitolina Garrido,capitolina.garrido@abc-company.com,Database Admin
Carina Salles,carina.salles@abc-company.com,Database Admin
Cauã Setúbal,caua.setubal@abc-company.com,Database Admin
Celeste Moreira,celeste.moreira@abc-company.com,Database Admin
Celso Torres,celso.torres@abc-company.com,Database Admin
César Matos,cesar.matos@abc-company.com,Linux Admin
Cleiton Fróis,cleiton.frois@abc-company.com,Database Admin
Cristiana Dornelles,cristiana.dornelles@abc-company.com,Database Admin
Débora Ferreyra,debora.ferreyra@abc-company.com,Linux Admin
Deolindo Ourique,deolindo.ourique@abc-company.com,Linux Admin
Diamantino Raposo,diamantino.raposo@abc-company.com,Linux Admin
Donato Gama,donato.gama@abc-company.com,Linux Admin
Doroteia Robalo,doroteia.robalo@abc-company.com,Linux Admin
Egas Malta,egas.malta@abc-company.com,Linux Admin
Emiliana Bicudo,emiliana.bicudo@abc-company.com,Linux Admin
Esperanca Carrasco,esperanca.carrasco@abc-company.com,Linux Admin
Eudes Bogado,eudes.bogado@abc-company.com,Linux Admin
Fausto Doutel,fausto.doutel@abc-company.com,Linux Admin
Filipa Holanda,filipa.holanda@abc-company.com,Linux Admin
Filipe Henriques,filipe.henriques@abc-company.com,Linux Admin
Gil Pinhal,gil.pinhal@abc-company.com,Linux Admin
Gilda Maior,gilda.maior@abc-company.com,Linux Admin
Giovana Carballo,giovana.carballo@abc-company.com,Linux Admin
Gláuber Feijó,glauber.feijo@abc-company.com,Linux Admin
Gláucia Pitangui,glaucia.pitangui@abc-company.com,Linux Admin
Godofredo Carvalhal,godofredo.carvalhal@abc-company.com,Linux Admin
Goncalo Balladares,goncalo.balladares@abc-company.com,Linux Admin
Graciano Vianna,graciano.vianna@abc-company.com,Linux Admin
Gui Maior,gui.maior@abc-company.com,Linux Admin
Guterre Milheiro,guterre.milheiro@abc-company.com,Linux Admin
Guterre Pastana,guterre.pastana@abc-company.com,Linux Admin
Hedviges Velásquez,hedviges.velasquez@abc-company.com,Linux Admin
Helena Acatauacu,helena.acatauacu@abc-company.com,Linux Admin
Hermígio Rosa,hermigio.rosa@abc-company.com,Linux Admin
Ibijara Capiperibe,ibijara.capiperibe@abc-company.com,Network Admin
Ifigénia Homem,ifigenia.homem@abc-company.com,Network Admin
Iracema Bento,iracema.bento@abc-company.com,Network Admin
Jandaíra Escobar,jandaira.escobar@abc-company.com,Network Admin
Jeremias Paula,jeremias.paula@abc-company.com,Network Admin
Lavínia Delgado,lavinia.delgado@abc-company.com,Network Admin
Lígia Palhares,ligia.palhares@abc-company.com,Network Admin
Lino Belmonte,lino.belmonte@abc-company.com,Network Admin
Lopo Camacho,lopo.camacho@abc-company.com,Network Admin
Luísa Ramírez,luisa.ramirez@abc-company.com,Network Admin
Mário Brião,mario.briao@abc-company.com,Network Admin
Melissa Queiroz,melissa.queiroz@abc-company.com,Network Admin
Mem Regueira,mem.regueira@abc-company.com,Network Admin
Morgana Valgueiro,morgana.valgueiro@abc-company.com,Network Admin
Natália Terra,natalia.terra@abc-company.com,Network Admin
Nazaré Veríssimo,nazare.verissimo@abc-company.com,Network Admin
Noé Betancour,noe.betancour@abc-company.com,Network Admin
Noêmia   Sarmento,noemia.sarmento@abc-company.com,Network Admin
Olavo Borges,olavo.borges@abc-company.com,Network Admin
Oliveira Sobral,oliveira.sobral@abc-company.com,Network Admin
Oriana Viveiros,oriana.viveiros@abc-company.com,Network Admin
Paraguacu Ipanema,paraguacu.ipanema@abc-company.com,Network Admin
Plácido Medeiros,placido.medeiros@abc-company.com,Network Admin
Porfírio Azenha,porfirio.azenha@abc-company.com,Network Admin
Potira Ferraco,potira.ferraco@abc-company.com,Network Admin
Quitéria Xavier,quiteria.xavier@abc-company.com,Network Admin
Raquel Paredes,raquel.paredes@abc-company.com,Trainee
Ruca Conde,ruca.conde@abc-company.com,Trainee
Salvador Vásquez,salvador.vasquez@abc-company.com,Trainee
Sancha Pino,sancha.pino@abc-company.com,Trainee
Sandro Alvarenga,sandro.alvarenga@abc-company.com,Trainee
Sebastiana Peres,sebastiana.peres@abc-company.com,Trainee
Sebastião Vasconcelos,sebastiao.vasconcelos@abc-company.com,Trainee
Severino Martins,severino.martins@abc-company.com,Trainee
Sidônio   Ramírez,sidonio.ramirez@abc-company.com,Trainee
Simone Velasco,simone.velasco@abc-company.com,Trainee
Socorro Brum,socorro.brum@abc-company.com,Trainee
Sofia Siqueira,sofia.siqueira@abc-company.com,Trainee
Sonás Modesto,sonas.modesto@abc-company.com,Trainee
Sônia ou Sonia   Telles,sonia.telles@abc-company.com,Trainee
Teodorico Guilheiro,teodorico.guilheiro@abc-company.com,Trainee
Tobias Pirajá,tobias.piraja@abc-company.com,Trainee
Trajano Sant'Anna,trajano.santanna@abc-company.com,Trainee
Ubajara Guerreiro,ubajara.guerreiro@abc-company.com,Trainee
Vânia Paredes,vania.paredes@abc-company.com,Cloud Architect
Vera Andrade,vera.andrade@abc-company.com,Trainee
Viriato Albernaz,viriato.albernaz@abc-company.com,Trainee
Xênia   Peres,xenia.peres@abc-company.com,Cloud Architect
Zélia Ferrão,zelia.ferrao@abc-company.com,Cloud Architect
Zidane Espargosa,zidane.espargosa@abc-company.com,Cloud Architect
Zilda Pastana,zilda.pastana@abc-company.com,Cloud Architect
Zulmira Paixão,zulmira.paixao@abc-company.com,Cloud Architect
Zuriel Losada,zuriel.losada@abc-company.com,Cloud Architect
